dr,c_analytique
0.02631578947368421,7.0
0.02631578947368421,7.013850415512465
0.02631578947368421,7.055401662049862
0.02631578947368421,7.124653739612189
0.02631578947368421,7.221606648199446
0.02631578947368421,7.346260387811634
0.02631578947368421,7.498614958448753
0.02631578947368421,7.678670360110804
0.02631578947368421,7.8864265927977835
0.02631578947368421,8.121883656509695
0.02631578947368421,8.385041551246537
0.02631578947368421,8.67590027700831
0.02631578947368421,8.994459833795013
0.02631578947368421,9.340720221606647
0.02631578947368421,9.714681440443213
0.02631578947368421,10.11634349030471
0.02631578947368421,10.545706371191136
0.02631578947368421,11.002770083102492
0.02631578947368421,11.48753462603878
0.02631578947368421,12.0
